,Quelle,Projektname,Art,Einsatzbereich,Webseite-Link,Organisation,Ansprechperson,Email,Status,Kurzzusammenfassung,Unnamed: 10
10,https://correlaid.org//daten-nutzen/projektdatenbank/2022-04-GER,R Wrapper for the Genesis API,['Open Source'],"['Verwaltung', 'Open Data']",,Internes Projekt,,,,"Das CorrelAid Team entwickelte ein R-Package, um offene Verwaltungsdaten zugänglicher zu machen.",
11,https://correlaid.org//daten-nutzen/projektdatenbank/2022-10-ETL,ETL Pipeline von Limesurvey zu einer Datenbank,"['Automatisierung', 'Datenmanagement']","['Umfrage', 'Prozess']",,Anonyme Organisation,,,,"Wir haben dazu beigetragen, die Datenextraktion und das Laden von Daten zu rationalisieren und die Datenverwaltung und -analyse effizienter zu gestalten.",
12,https://correlaid.org//daten-nutzen/projektdatenbank/2022-10-LCR,Data Flow von R zu Metabase zu Google Docs: Ein Live-Connected Reporting-Workflow,"['Open Source', 'Automatisierung', 'Webentwicklung']","['Umfrage', 'Prozess']",,Anonyme Organisation,,,,"Wir haben erfolgreich zwei Komponenten zur Automatisierung von Datenaufgaben entwickelt, die zeigen, dass auch technisch weniger versierte Nutzer von Datenpipelines außerhalb der traditionellen technischen Stacks profitieren können.",
13,https://correlaid.org//daten-nutzen/projektdatenbank/2022-07-COP,Wo sollen neue Fahrradparkplätze in Paris entstehen? Unterstützung der Entscheidungsfindung mit offenen Daten,"['Explorative Analyse', 'Modellierung']","['Verwaltung', 'Open Data']",,City of Paris ,,,,Wir haben die Stadt Paris bei der Erstellung einer Karte zur besseren Planung von Fahrradparkplätzen unterstützt und dabei offene Daten für datengestützte Entscheidungen genutzt.,
14,https://correlaid.org//daten-nutzen/projektdatenbank/2022-11-ATT,Qualitätsanalyse von OpenStreetMap Daten für Trinkbrunnen,"['Explorative Analyse', 'Reporting', 'Visualisierung']","['Open Data', 'Prozess']",,a tip: tap e.V.,,,,"Wir haben Open Street Maps-Daten zu Trinkbrunnen in Deutschland analysiert, unsere Ergebnisse mit offiziellen Zahlen verglichen und die Qualität der Metadaten verbessert.",
15,https://correlaid.org//daten-nutzen/projektdatenbank/2022-04-LAU,Entwicklung eines interaktiven Fragebogens zur Verbesserung von Kinderschutzmaßnahmen im Sport,"['Visualisierung', 'Webentwicklung']",['Prozess'],,Laureus Sport For Good Germany,,,,"Wir haben eine interaktive Web-App entwickelt, die Sportorganisationen dabei hilft, ihre Kinderschutzmaßnahmen zu bewerten und personalisierte Empfehlungen für Verbesserungen zu erhalten. Dieses neue Tool strafft den Prozess, spart Zeit und erhöht die Zugänglichkeit.",
16,https://correlaid.org//daten-nutzen/projektdatenbank/2022-04-GEP,Python-Package für die GENESIS Datenbank,['Open Source'],"['Verwaltung', 'Open Data']",,Internes Projekt,,,,"Das CorrelAid Team entwickelte ein Python-Package, um offene Verwaltungsdaten zugänglicher zu machen.",
17,https://correlaid.org//daten-nutzen/projektdatenbank/2022-07-MIP,Aufbau eines Systems zur Bewertung der Bodenqualität durch maschinelles Lernen und Computer Vision,"['Open Source', 'Modellierung']",['Open Data'],,Anonyme Organisation,,,,"Wir haben maschinelles Lernen und Computer Vision eingesetzt, um die Bodenqualität zu bewerten und landwirtschaftliche Praktiken zu verbessern.",
18,https://correlaid.org//daten-nutzen/projektdatenbank/2021-10-CAR,Alleinerziehend und arbeitslos: Analyse von Daten der Allgemeinen Sozialberatung der Caritas,['Explorative Analyse'],"['Umfrage', 'Prozess']",,"Deutscher Caritasverband e.V., Referat Soziale Lebenslagen und Solidarität",,,,"Wir haben die Daten von 37 000 Kunden analysiert und festgestellt, dass alleinerziehende Mütter ein höheres Risiko haben, langzeitarbeitslos zu werden, insbesondere diejenigen mit geringerer Bildung.",
19,https://correlaid.org//daten-nutzen/projektdatenbank/2021-04-KOB,R Wrapper für die KoboToolbox API,['Open Source'],['Umfrage'],,Internes Projekt,,,,"Mit dem R-Paket CorrelAid für KoboToolbox haben wir dazu beigetragen, Daten-Workflows für Forscher und humanitäre Organisationen zu automatisieren.",
20,https://correlaid.org//daten-nutzen/projektdatenbank/2021-07-SIL,Zeitersparnisse und verbesserte Wirkungskommunikation dank Automatisierung und Datenvisualisierungen,"['Automatisierung', 'Visualisierung']",['Prozess'],,Silbernetz e.V.,,,,"Wir haben ein interaktives Tool entwickelt, das Silbernetz Zeit und Mühe erspart und es ihnen ermöglicht, sich auf wichtigere Aktivitäten zu konzentrieren und ihre Wirkung bei den Interessengruppen effektiv zu kommunizieren, was letztendlich zu mehr Finanzierung und Unterstützung führt.",
21,https://correlaid.org//daten-nutzen/projektdatenbank/2021-04-SOS,Wertvolle Zeit sparen und Fehler vermeiden durch die Automatisierung von Prozessen,['Automatisierung'],['Prozess'],,Science on Stage e.V.,,,,"Wir haben Skripte entwickelt, um die Datenverarbeitung für Science on Stage e.V. zu automatisieren, was ihnen Zeit und Mühe erspart und es ihnen ermöglicht, ihre Arbeit stärker datenorientiert zu gestalten.",
22,https://correlaid.org//daten-nutzen/projektdatenbank/2021-03-NAK,Ein Dashboard zur Steigerung der Motivation von ehrenamtlichen Tutor*innen,['Webentwicklung'],['Prozess'],,Anonyme Organisation,,,,"Wir halfen bei der Erstellung eines Dashboards zur Unterstützung der Tutoren, um sie zu motivieren, durch ihre ehrenamtliche Tätigkeit einen positiven Einfluss auf das deutsche Schulsystem zu nehmen.",
23,https://correlaid.org//daten-nutzen/projektdatenbank/2021-03-HAC,"Erstellung eines interaktiven Survey-Reports für die Hacklab Foundation, Ghana",['Visualisierung'],['Umfrage'],,Hacklab Foundation,,,,"Wir haben Umfragedaten analysiert, um Einblicke in die ghanaische Entwicklergemeinschaft zu gewinnen und Verbesserungsmöglichkeiten und Wachstumschancen zu entdecken. Unser Bericht bietet der Hacklab Foundation eine Plattform, um die Ergebnisse zu teilen und mit Partnern zusammenzuarbeiten.",
24,https://correlaid.org//daten-nutzen/projektdatenbank/2020-10-CIT,Netzwerkdynamiken in Citizen Science - Nutzer*innenverhalten auf der iNaturalist Plattform,['Modellierung'],"['Prozess', 'Open Data']",,Internes Projekt,,,,Wir halfen bei der Analyse von Daten der Citizen-Science-Plattform iNaturalist und deckten interessante Trends im Nutzerverhalten und in den Interaktionen auf.,
25,https://correlaid.org//daten-nutzen/projektdatenbank/2021-02-CFE,Diversität erforschen - Visualisierung der Afrozensus Umfrage in R,['Visualisierung'],['Umfrage'],,Citizens for Europe,,,,"Wir haben ein R-Paket entwickelt, das Forschern dabei hilft, Daten aus der Afrozensus-Umfrage zu analysieren und zu visualisieren, damit sie die Erfahrungen von Menschen afrikanischer Herkunft in Deutschland besser erforschen und verstehen können.",
26,https://correlaid.org//daten-nutzen/projektdatenbank/2020-11-MAR,Datenvisualisierungen für mehr Aufmerksamkeit für illegale Pushbacks,['Visualisierung'],['Prozess'],,Mare Liberum,,,,"Wir haben Mare Liberum dabei geholfen, ihre Daten in aussagekräftige Visualisierungen umzuwandeln, um das Bewusstsein für Pushbacks im Mittelmeer zu schärfen, und dabei dank ihrer vorhandenen Kenntnisse in der R-Programmierung eine nachhaltige Wirkung zu erzielen.",
27,https://correlaid.org//daten-nutzen/projektdatenbank/2019-11-WBD,Dashboard für das Tracking von Websitezugriffszahlen,['Visualisierung'],['Prozess'],,Anonyme Organisation,,,,"Wir erstellten ein Dashboard, das uns half, die Leistung unserer Website besser zu verstehen und wertvolle Erkenntnisse für Verbesserungen zu gewinnen.",
28,https://correlaid.org//daten-nutzen/projektdatenbank/2020-05-EYP,Anschauliche Aufbereitung von Umfragen zur Teilnehmerstruktur und dem Impact von Veranstaltungen,['Explorative Analyse'],"['Umfrage', 'Prozess']",,European Youth Parliament,,,,"Wir analysierten Umfragedaten von fünf Veranstaltungen des Europäischen Jugendparlaments, um die Auswirkungen ihrer Aktivitäten auf die Einstellungen und Fähigkeiten der Teilnehmer zu verstehen, und gaben Empfehlungen für künftige Umfragen zur Verbesserung der Zuverlässigkeit.",
29,https://correlaid.org//daten-nutzen/projektdatenbank/2020-03-ERL,Interaktives Dashboard zur besseren Darstellung von Verschuldungsdaten,"['Visualisierung', 'Automatisierung']",['Verwaltung'],,Erlassjahr e.V.,,,,"Wir halfen dem erlassjahr-Team, Zeit und Mühe zu sparen, indem wir die Datengenerierung automatisierten und eine interaktive Weltkarte erstellten, um die Verschuldungssituation weltweit zu visualisieren und den Nutzern das Erkunden und Verstehen der Daten zu erleichtern.",
30,https://correlaid.org//daten-nutzen/projektdatenbank/2020-03-DEN,Wer ist interessiert an einem guten Leben im ländlichen Raum?,"['Datenerhebung', 'Visualisierung']","['Umfrage', 'Verwaltung']",,Denk-mal-Kultur e.V.,,,,"Wir haben Denk-mal-Kultur e.V. dabei unterstützt, das Interesse an seiner Akademie für selbstbestimmtes Altern und seinem Praxisforschungszentrum zu ermitteln und Erkenntnisse für künftige Aktivitäten und die Sicherung der Finanzierung zu gewinnen.",
31,https://correlaid.org//daten-nutzen/projektdatenbank/2019-11-ODA,Weiterbildungen im nachhaltigen Sektor fördern,['Webentwicklung'],['Prozess'],,OdA Umwelt,,,,"Wir haben eine durchsuchbare Datenbank entwickelt, um fundierte Entscheidungen und die berufliche Entwicklung im Bereich der Nachhaltigkeit zu unterstützen und eine benutzerfreundliche Plattform für die Erkundung und Bewertung von Qualifikationen bereitzustellen.",
32,https://correlaid.org//daten-nutzen/projektdatenbank/2020-01-KOM,Komunat - die Wirkung von Wahlentscheidungshilfen bei Kommunalwahlen,"['Explorative Analyse', 'Visualisierung', 'Reporting']","['Umfrage', 'Prozess']",,VOTO,,,,"Für die Kommunalwahl 2019 in Stuttgart haben wir ein Wahlentscheidungstool entwickelt, mit dem die Nutzerinnen und Nutzer die Kandidatinnen und Kandidaten anhand ihrer Einstellungen zu verschiedenen Aussagen bewerten und ein Ranking erhalten.",
33,https://correlaid.org//daten-nutzen/projektdatenbank/2019-10-BEE,Mithilfe von Machine Learning Anomalien in Bienenstöcken erkennen,['Modellierung'],['Open Data'],,Bee Observer BOB,,,,"Wir haben BeeObserver dabei geholfen, die Bienenbeobachtung auf ein neues Niveau zu heben, indem wir Sensordaten nutzbar gemacht und ein Warnsystem für Imker geschaffen haben.",
34,https://correlaid.org//daten-nutzen/projektdatenbank/2019-02-MIN,tf-idf zu Babel: Text Mining zur Optimierung von automatisierten Prozessen in multilingualen Kontexten,"['Explorative Analyse', 'Modellierung']",['Prozess'],,Minor Kontor,,,,"Wir haben ein interaktives Tool entwickelt, um Minor EU dabei zu helfen, besser mit Migranten in den sozialen Medien in Kontakt zu treten, Zeit zu sparen und die Berichterstattung für Geldgeber zu verbessern.",
35,https://correlaid.org//daten-nutzen/projektdatenbank/2019-06-WEL,Automatisierte Reportgenerierung zur Verbesserung der Arbeit der Weltläden,['Automatisierung'],['Prozess'],,Weltladen Dachverband,,,,"Wir haben den Weltladen-Dachverband dabei unterstützt, die Erstellung individueller Berichte für seine Weltläden zu automatisieren, um den Prozess effizienter zu gestalten und Fehler zu reduzieren.",
36,https://correlaid.org//daten-nutzen/projektdatenbank/2019-01-MAP,Lebensmittelverschwendung reduzieren und Planung verbessern: Zeitreihenanalyse für ein Restaurant für bedürftige Menschen,"['Explorative Analyse', 'Modellierung']",['Prozess'],,Mannheimer Platte,,,,"Wir analysierten die Daten des Restaurants Mannheimer Platte, um die Umsatz- und Nachfragemuster zu verstehen, und lieferten Erkenntnisse, die zur Entscheidungsfindung und zur Verbesserung der Beschaffungsplanung beitrugen.",
37,https://correlaid.org//daten-nutzen/projektdatenbank/2018-11-TVK,Mitgliederbefragung des Turnvereins Käfertal,"['Datenerhebung', 'Reporting']",['Umfrage'],,Turnverein 1880 Käfertal,,,,"Wir führten eine Mitgliederbefragung durch, um TV K&auml;fertal dabei zu helfen, die Zufriedenheit der Mitglieder und die Effektivität der Kommunikation zu verstehen. Die Umfrageergebnisse bildeten die Grundlage für datengestützte Entscheidungen, mit denen die Strategien und Strukturen des Verbandes für eine nachhaltige Zukunft angepasst wurden.",
38,https://correlaid.org//daten-nutzen/projektdatenbank/2015-08-PBN,Analyse einer Mitgliederbefragung des Pfadfinderbunds Nord,"['Reporting', 'Explorative Analyse']",['Umfrage'],,Pfadfinder*innenbund Nord,,,,"Wir halfen den Pfadfindern, ihre Mitglieder besser zu verstehen, indem wir die Daten analysierten und mit anderen Jugendstudien verglichen, so dass sie ihre Aktivitäten auf die Bedürfnisse und Interessen ihrer jungen Mitglieder abstimmen konnten.",
39,https://correlaid.org//daten-nutzen/projektdatenbank/2024-04-TEN,Output Monitoring durch Entwicklung und Implementierung eines Fragebogen mithilfe von Fokusgruppen,"['Datenerhebung', 'Visualisierung', 'Reporting']",['Umfrage'],,CVJM-Gesamtverband in Deutschland e. V.,,,,"Wir haben mit CorrelAid zusammengearbeitet, um die Datenherausforderungen der teilnehmenden Organisationen anzugehen und Erkenntnisse zu sammeln, die ihnen helfen, ihren Gemeinden besser zu helfen.",
